,/records/record/#id,/records/record/abstract/style,/records/record/auth-address/style,/records/record/contributors/authors/author/style,/records/record/dates/year/style,/records/record/keywords/keyword/style,/records/record/periodical/full-title/style,/records/record/titles/title/style
37,38,"This paper analyzes and compares two mental mapping studies–one with young people (aged 16–19) in Finland and one with Finnish and Russian young people (aged 9–15) in the Finnish-Russian borderland. These studies show that mental mapping is a valuable method which can illuminate crucial aspects of how borders and bordering are related to young people’s territorial identifications. We argue that it is important to pay special attention to the research methodology, including the mapping scale and the complementary data collection methods, as these determine what aspects of borders and bordering in young people’s territorial identifications can be discovered, and how profoundly identification processes can be studied with mental maps. This paper contributes to the theoretical discussion on borders and territorial identity by visualizing the complexity of how borders and territorial identifications are intertwined, and how young people engage in the social, cultural and mental construction of borders and the negotiation of territorial identities. The paper enriches the mental mapping methodology by demonstrating two different ways mental maps can be used for studying young people’s territorial identifications. © 2020, © 2020 Association for Borderlands Studies.","Karelian Institute, University of Eastern Finland, Joensuu, Finland
 Department of Geographical and Historical Studies, University of Eastern Finland, Joensuu, Finland","Kaisto, V.",2020,,Journal of Borderlands Studies,Mental Mapping as a Method for Studying Borders and Bordering in Young People’s Territorial Identifications
24,25,"Public open spaces are key to cities, as a place where society can create and recreate public life. Thus, we aim to investigate the production of these areas in slums through concepts such as “right to the city”, “return to the city”, accessibility, mobility, and the implications of fragmentation and segregation, in promoting the socio-integration into the city. The empirical object is the “Beira Molhada” slum in João Pessoa, Paraíba, because of its inclusion in peri-urban area and of environmental preservation, with large public open spaces. The methodology consists of literature and documentary research, mental maps and geo-referenced analyticals. The results indicate an issue poorly related with city and environmental goods under threat. However, there is great potential for socio-spatial integration of the slum with the city, by encouraging social dynamic that provides accessibility and mobility to the environmental heritage and its fruition, contributing to the establishment of an “urban society” as stated by Lefebvre. © Editora CHAMPAGNAT. All rights reserved.","Universidade Federal da Paraíba (UFPB), Programa de Pós-graduação em Arquitetura e Urbanismo, João Pessoa, PB, Brazil
 Universidade Federal da Paraíba (UFPB), Laboratório do Ambiente Urbano e Edificado (LAURBE), João Pessoa, PB, Brazil",,2017,Social-spatial integration,Urbe,"Informal public open space as locus of the opportunity and of social-spatial integration of city: The case of the Beira Molhada slum, in João Pessoa, Paraíba - Brazil"
29,30,"Over the last decade, much research has assessed sport in relation to geographical perspectives of place, landscape, and identity. Using multiple qualitative methods, including mental maps, interviews and conversations, and participant observation, this inductive study attempts to better understand local perceptions of an everyday landscape. This work was conducted in Villa Ascension, a rural community in the Dominican Republic consisting of Haitian and Dominican residents. Football is a strong component of Haitian identity, and baseball is likewise important to Dominicans. Currently, the community has one site where two sports are actively played. Given the community's heterogeneous ethnic composition, Villa Ascension's sports landscape is recognised as having multiple layers of meaning. Knowledge produced in this case study revealed the emergent themes of perceived interpretations of ordinary landscapes, the forging of boundaries, communal relationships and support, and hazards and modification of limited spaces for play. The landscape being a layered one with multiple representations of place and identity, the Haitians' broader perceptions suggest that they view the site as a place of primary importance. Alternatively, the Dominicans are attempting to forge and maintain their sense of sporting identity in the landscape. © 2014 Institute of Australian Geographers.","Department of Management, Glasgow School for Business and Society, Hamish Wood Building, Glasgow Caledonian University, Cowcaddens Road, Glasgow, G4 0BA, United Kingdom","Wise, N.",2014,,Geographical Research,Layers of the landscape: Representations and perceptions of an ordinary (shared) sports landscape in a Haitian and Dominican community
22,23,"Over the last two decades a vibrant body of research committed to investigating the complex inter-relationships between ‘the social’ and ‘the spatial’ has gathered momentum within sociology and the social sciences more generally. Focusing on young people, this article seeks to develop further insights regarding the sociology of place using the spatial visualization technique of mental mapping as part of a mixed-methods approach. Its main contribution is to develop a more nuanced understanding of young people’s localized cognitive spaces and associated socio-spatial influences in three deprived urban areas in Hull, Walsall and Wolverhampton. In this context, the article explores the role of place in shaping young people’s social networks, identities and aspirations regarding employment and highlights the implications of these for future research. © The Author(s) 2015","Sheffield Hallam University, United Kingdom
 University of Warwick, United Kingdom",,2015,young people,"Work, Employment and Society",The importance of socio-spatial influences in shaping young people’s employment aspirations: case study evidence from three British cities
69,70,"As public spaces are often designed based on adults’ behavioural patterns and perceptions, children’s perceptions and physical needs based on their body size have received less attention in both the design of urban spaces and urban studies. Focusing on the interpretive reproduction theory, this study aims to investigate children’s perceptions of urban spaces. Using behaviour and mental mapping, this paper examines children’s activities in public spaces as well as their mental images of such spaces. Behaviour mapping was conducted over 37 days on the Zrêbar Lake Waterfront in Kurdistan. Sketches drawn by 36 children were then analysed to identify children’s perceptions of the Waterfront. Unlike conventional methods in which children’s demands are determined through caregivers, this study focuses on engagement with children. Results indicate that two main factors of actualised environmental affordances (AEA) and safety-conscious parenting practices (SPP) have a significant influence on children’s freedom of movement (CFM) and consequently children’s activities in public spaces. © Urban Studies Journal Limited 2020.","University of Kurdistan, Iran
 RMIT School of Global Urban and Social Studies, Australia
 Universidad Politécnica de Madrid Escuela Técnica Superior de Arquitectura de Madrid, Spain","Mansournia, S.",2020,,Urban Studies,Understanding children’s perceptions and activities in urban public spaces: The case study of Zrêbar Lake Waterfront in Kurdistan
39,40,"Maps of residential desirability and information surfaces in Quebec and Ontario vary considerably between children and young adults in the two provinces. Such differences reflect variations in migration, education and economic factors. Difficult methodological questions are raised concerning the measurement of cultural and linguistic barrier effects. -Authors","Dept. Geography, Pennsylvania State University, University Park, PA 16802, USA., United States","Gould, P.",1979,,Cahiers de Geographie du Quebec,Mental maps and information surfaces in Quebec and Ontario
57,58,"In our study we shall analyse the spatial aspects of the Romani-Hungarian coexistence based on the field research results of the village seminar workshop organized by the Szent Istvan University (Godollo). We present two different situations: one segregate analysis using Baks as an example, where we find a settlement considered as majority, and a Romani segregate; and provincial ghettoization using Atany as an example, where due to a previous site termination the Romani people dispersed over the whole village area. We conducted surveys in both settlements in order to find out the local residents' opinion on the development of the value of the inhabited area. Our goal on the one hand is to present the method of ethnicity analysis by mental mapping in rural areas, and on the other in addition to offering methodological practices is to point out a few important takeaways of the spatiality of the Romani-Hungarian coexistence based on our actual experiences.",,"Molnar, M.",2016,,Deturope-the Central European Journal of Regional Development and Tourism,RESEARCHING THE SPATIAL ASPECTS OF THE ROMANI-HUNGARIAN COEXISTENCE BY THE MEANS OF MENTAL MAPPING
50,51,"The concept of “usable knowledge” is central to sustainability science, but most of the research that explores this concept focuses on the science–policy interface. This paper expands this scholarship by describing a participatory research methodology that aimed to facilitate knowledge sharing between indigenous peoples, and support indigenous community efforts to consider different knowledge claims and negotiate indigenous knowledge that could be used for environmental risk assessments and management responses. We draw on two case studies to show how a participatory mapping approach enabled Aboriginal people connected to the Girringun Indigenous Corporation (Girringun) in northern Australia to negotiate the knowledge needed to assess the environmental risks that affect their territories. Individuals painted and drew maps of their values, knowledge, and management aspirations for water and native vegetation. These maps were shared with the wider group to enable the consideration of different perspectives and the negotiation of agreed risks affecting local watersheds and native vegetation. These maps were also used to facilitate the design of knowledge partnerships among the Girringun tribal groups, staff, and other collaborators that are critical to re-framing and co-managing the environmental risks affecting this region of northern Australia. © 2015, Springer Japan.","CSIRO Land and Water, Dutton Park, QLD, Australia
 The Northern Institute, Charles Darwin University, Darwin, NT, Australia
 CSIRO Land and Water, Cairns, QLD, Australia
 Regional Advisory and Innovation Network (RAIN) Pty, Kent, QLD, Australia
 Girringun Indigenous Corporation, Cardwell, QLD, Australia",,2016,Risk communication,Sustainability Science,Participatory mapping to negotiate indigenous knowledge used to assess environmental risk
52,53,"Presents the findings of a monitoring excercise undertaken by the Milton Keynes Development Corporation into residents' views on aspects of the city's structure. The lengthy interviews involved participants' involvement in drawing mental maps, descriptions of facilities, route descriptions, and personal attitudes. The process of changing policy to take account of the findings is also described. -R.Land","School for Advanced Urban Studies, Univ. of Bristol, UK., United Kingdom","Bishop, J.",1984,,Places,Place debate: Milton Keynes. Passing in the night: public and professional views of Milton Keynes
25,26,"Suburbanization as a key process transforming the hinterland of cities has been researched by human geographers for a long time. The study of suburbanization involves the application of a wide spectrum of methods or analytic tools falling within the groups of quantitative, qualitative and combined approaches. One of the possibilities to study this process is mental mapping that we primarily use as an instrument for examining the character of suburban environment, its perception by local inhabitants, their experience of and relation to the place of living. The aim of this study is to look at the environment of the suburban municipalities in the hinterland of Olomouc by means of mental mapping. We use concrete examples of sketches to describe and interpret the outputs of perception of the researched suburban municipalities and their components by local inhabitants. Despite schematization, incompleteness or distortion, the results of the study prove that character of their mental maps mostly depends on how much time the inhabitants spend in their municipalities, whether they participate in the collective life or use a map of the municipality and what their relation to place of living is. © 2015 Human Geographies; The authors.","Palacký University, Czech Republic
 Masaryk University, Czech Republic","Biolek, J.",2015,,Human Geographies,Investigating suburban environment by means of mental maps: A case study of Olomouc hinterland
